,end_time,pkg_name,time_offset,start_time,floor,datauuid,update_time,create_time
374,2018-03-19 17:32:08.000,com.sec.android.app.shealth,UTC-0300,2018-03-19 17:31:55.000,1.0,b6a305e9-c1b8-ff77-885c-7d55c1e8b387,2018-03-19 17:35:10.837,2018-03-19 17:35:10.837
375,2018-02-21 20:01:30.000,com.sec.android.app.shealth,UTC-0400,2018-02-21 20:00:04.000,2.0,b70e445a-d034-a2df-1941-532b139a7f9d,2018-02-21 20:02:33.934,2018-02-21 20:02:33.892
376,2017-12-31 23:23:54.000,com.sec.android.app.shealth,UTC-0700,2017-12-31 23:23:10.000,3.0,b76ac9b3-12cb-cc0c-fe2b-57b18e8dabfb,2017-12-31 23:24:18.934,2017-12-31 23:24:18.898
377,2018-02-24 10:33:18.000,com.sec.android.app.shealth,UTC-0400,2018-02-24 10:33:04.000,1.0,b85b014a-c65d-d3bb-36fc-06f32d32cc23,2018-02-24 10:35:22.841,2018-02-24 10:35:22.839
378,2018-02-11 19:22:17.000,com.sec.android.app.shealth,UTC-0400,2018-02-11 19:19:34.000,12.0,b885ebf7-cef3-b133-17a8-37f3217203c0,2018-02-11 19:22:44.052,2018-02-11 19:20:21.845
379,2018-04-28 15:00:51.000,com.sec.android.app.shealth,UTC-0300,2018-04-28 15:00:32.000,1.0,b8997d0f-923a-2b20-0232-9926e5a63ff0,2018-04-28 15:06:48.179,2018-04-28 15:06:48.175
380,2018-03-30 18:27:47.000,com.sec.android.app.shealth,UTC-0300,2018-03-30 18:26:54.000,2.0,b8efddaf-adc7-733b-baea-cb5d46c3e4c7,2018-03-30 18:45:26.328,2018-03-30 18:45:26.303
381,2018-05-02 18:29:56.000,com.sec.android.app.shealth,UTC-0300,2018-05-02 18:29:46.000,1.0,b9027c22-4580-aa64-2c2c-3ac3cbf14fe5,2018-05-02 18:33:41.932,2018-05-02 18:33:41.931
382,2018-02-05 13:00:34.000,com.sec.android.app.shealth,UTC-0400,2018-02-05 13:00:23.000,1.0,b9622f6b-54a2-ae7c-6f7c-55d25dc1525e,2018-02-05 13:00:35.931,2018-02-05 13:00:35.930
383,2018-03-19 17:35:00.000,com.sec.android.app.shealth,UTC-0300,2018-03-19 17:34:30.000,1.0,b9c830c6-18d7-a5df-1f3b-dea8c5b44d12,2018-03-19 17:35:10.868,2018-03-19 17:35:10.851
384,2018-04-10 09:12:57.000,com.sec.android.app.shealth,UTC-0300,2018-04-10 09:12:39.000,1.0,ba8dd58a-b14f-6741-5946-ad1c16a92e9b,2018-04-10 09:25:41.994,2018-04-10 09:25:41.974
385,2017-12-22 13:46:29.000,com.sec.android.app.shealth,UTC-0700,2017-12-22 13:43:54.000,6.0,baf1183d-d9e6-015d-2c4b-046b0786a89e,2017-12-22 14:09:40.194,2017-12-22 14:09:40.110
386,2018-05-01 17:45:08.000,com.sec.android.app.shealth,UTC-0300,2018-05-01 17:44:47.000,1.0,bb10f098-d2d3-f3b3-6266-0c5ae91bff8a,2018-05-01 17:45:08.264,2018-05-01 17:45:08.260
387,2018-03-02 17:52:54.000,com.sec.android.app.shealth,UTC-0400,2018-03-02 17:52:38.000,1.0,bb4ed076-e4fd-f85f-501d-0e8ff4d9acea,2018-03-02 17:55:01.025,2018-03-02 17:55:00.976
388,2018-02-13 19:02:05.000,com.sec.android.app.shealth,UTC-0400,2018-02-13 19:01:15.000,2.0,bb68f1d9-1588-6ac1-6793-be907ed7a149,2018-02-13 19:08:21.601,2018-02-13 19:08:21.580
389,2018-04-14 14:36:17.000,com.sec.android.app.shealth,UTC-0300,2018-04-14 14:35:40.000,1.0,bb7bdc3a-e3f4-1733-0664-698568e10e36,2018-04-14 14:40:22.879,2018-04-14 14:40:22.860
390,2018-05-02 11:21:07.000,com.sec.android.app.shealth,UTC-0300,2018-05-02 11:20:42.000,1.0,bbc84a2c-43a5-f6e5-e4da-47ad6246d422,2018-05-02 13:52:24.838,2018-05-02 13:52:24.823
391,2018-04-04 17:14:03.000,com.sec.android.app.shealth,UTC-0300,2018-04-04 17:13:48.000,1.0,bbe506d3-349c-91a5-1c51-780aa2356bc3,2018-04-04 17:15:10.722,2018-04-04 17:15:10.720
392,2017-12-22 13:33:41.000,com.sec.android.app.shealth,UTC-0700,2017-12-22 13:33:20.000,1.0,bbf03b23-dd0f-3a1c-e205-6acc35320479,2017-12-22 14:09:40.091,2017-12-22 14:09:40.066
393,2018-01-07 14:12:20.000,com.sec.android.app.shealth,UTC-0400,2018-01-07 14:10:26.000,8.0,bc48d653-ce15-24aa-d002-2ff824ca91a1,2018-01-07 14:13:33.494,2018-01-07 14:13:33.358
394,2018-01-31 09:12:54.000,com.sec.android.app.shealth,UTC-0400,2018-01-31 09:12:45.000,1.0,bc655c81-4804-f421-d8d3-8d9b02fc1328,2018-01-31 09:27:25.512,2018-01-31 09:27:25.512
395,2017-12-18 16:36:44.000,com.sec.android.app.shealth,UTC-0400,2017-12-18 16:36:16.000,1.0,bd090168-68e8-67b1-ad89-2aefd1d17df2,2017-12-18 16:36:45.876,2017-12-18 16:36:45.875
396,2018-04-14 11:34:54.000,com.sec.android.app.shealth,UTC-0300,2018-04-14 11:33:26.000,7.0,bd0bad92-f620-f74b-5f01-90feeff2d010,2018-04-14 11:37:04.319,2018-04-14 11:37:04.230
397,2018-02-28 19:03:19.000,com.sec.android.app.shealth,UTC-0400,2018-02-28 19:02:51.000,1.0,bd34d9ae-83e5-f74d-7942-d881b07c9006,2018-02-28 19:12:28.387,2018-02-28 19:12:28.386
398,2018-01-19 16:36:59.000,com.sec.android.app.shealth,UTC-0400,2018-01-19 16:36:08.000,2.0,bed7892a-f578-e025-5339-c76471e75c4e,2018-01-19 16:41:09.637,2018-01-19 16:41:09.626
399,2018-02-12 17:55:24.000,com.sec.android.app.shealth,UTC-0400,2018-02-12 17:55:11.000,1.0,c00777ac-ba92-7792-d382-9daa61dcf5c6,2018-02-12 17:59:15.482,2018-02-12 17:59:15.460
400,2018-01-24 08:45:19.000,com.sec.android.app.shealth,UTC-0400,2018-01-24 08:44:46.000,2.0,c0639cab-0af2-5cb9-eff7-f88f7fda1b31,2018-01-24 08:50:41.083,2018-01-24 08:50:41.040
401,2018-03-23 09:03:32.000,com.sec.android.app.shealth,UTC-0300,2018-03-23 09:02:41.000,2.0,c0c8f761-30d1-49c0-f44d-b36c84cdc0a1,2018-03-23 09:07:29.842,2018-03-23 09:07:29.803
402,2018-01-06 21:03:38.000,com.sec.android.app.shealth,UTC-0400,2018-01-06 21:01:12.000,12.0,c11460c4-1a84-e9f2-a5cc-98a15f604035,2018-01-06 21:03:38.596,2018-01-06 21:02:52.877
403,2018-01-03 19:09:16.000,com.sec.android.app.shealth,UTC-0400,2018-01-03 19:09:07.000,1.0,c185220b-813e-7bc1-b724-32a0c3f655b1,2018-01-03 19:09:54.938,2018-01-03 19:09:54.937
404,2018-03-28 20:03:31.000,com.sec.android.app.shealth,UTC-0300,2018-03-28 20:03:16.000,1.0,c2016279-1838-c9bf-d4f8-2786c906f506,2018-03-28 20:09:11.098,2018-03-28 20:09:11.097
405,2018-03-25 14:56:59.000,com.sec.android.app.shealth,UTC-0300,2018-03-25 14:56:43.000,1.0,c2534999-45c7-eebe-0ee4-01b8b3346df0,2018-03-25 15:05:23.704,2018-03-25 15:05:23.690
406,2018-02-12 17:57:49.000,com.sec.android.app.shealth,UTC-0400,2018-02-12 17:57:21.000,2.0,c253e7ee-9519-5586-4739-de4ba0e08ee9,2018-02-12 17:59:15.518,2018-02-12 17:59:15.502
407,2018-01-15 07:20:46.000,com.sec.android.app.shealth,UTC-0400,2018-01-15 07:19:11.000,7.0,c27f7051-8070-cd0f-ce00-bd08d5f2402c,2018-01-15 07:21:57.954,2018-01-15 07:19:20.366
408,2018-03-07 20:01:59.000,com.sec.android.app.shealth,UTC-0400,2018-03-07 20:01:53.000,1.0,c2a7706e-0d40-8017-dde5-5820b967cc7f,2018-03-07 20:02:19.778,2018-03-07 20:02:19.777
409,2018-01-05 11:56:45.000,com.sec.android.app.shealth,UTC-0400,2018-01-05 11:56:39.000,1.0,c4048cb7-3631-5fff-7d1e-369abfe806b2,2018-01-05 11:59:26.938,2018-01-05 11:59:26.936
410,2017-12-29 15:43:32.000,com.sec.android.app.shealth,UTC-0700,2017-12-29 15:43:22.000,1.0,c46c7ae0-a653-8b57-d019-56e09a4c1ff8,2017-12-29 15:49:23.762,2017-12-29 15:49:23.760
411,2018-04-09 12:48:29.000,com.sec.android.app.shealth,UTC-0300,2018-04-09 12:48:13.000,1.0,c476d827-9ed4-d98a-ad9a-7cb5dc1e1fc8,2018-04-09 12:57:56.616,2018-04-09 12:57:56.602
412,2018-03-08 09:10:56.000,com.sec.android.app.shealth,UTC-0400,2018-03-08 09:10:36.000,1.0,c48471c2-7d0d-4c52-e319-6b71a40dc281,2018-03-08 09:18:22.869,2018-03-08 09:18:22.846
413,2017-12-31 13:43:54.000,com.sec.android.app.shealth,UTC-0700,2017-12-31 13:43:07.000,3.0,c4dc1e8b-f069-96f4-5d55-1b4316a4826d,2017-12-31 13:53:07.404,2017-12-31 13:53:07.343
414,2018-03-14 09:13:22.000,com.sec.android.app.shealth,UTC-0300,2018-03-14 09:13:02.000,1.0,c4df811e-ff77-ba0d-209e-cbec4c033766,2018-03-14 09:14:12.869,2018-03-14 09:14:12.851
415,2018-02-21 08:24:00.000,com.sec.android.app.shealth,UTC-0400,2018-02-21 08:23:42.000,1.0,c4eab43c-37a0-4c1e-fa60-c9b6d6faffc2,2018-02-21 08:24:47.329,2018-02-21 08:24:47.308
416,2018-04-14 15:39:42.000,com.sec.android.app.shealth,UTC-0300,2018-04-14 15:39:33.000,1.0,c4fb7747-471e-c825-5201-b1dd48c22a2f,2018-04-14 15:51:34.535,2018-04-14 15:51:34.534
417,2017-12-25 15:34:36.000,com.sec.android.app.shealth,UTC-0700,2017-12-25 15:34:09.000,1.0,c50874e0-6f53-96c0-6aad-ae8ea8624e48,2017-12-25 15:37:45.788,2017-12-25 15:37:45.788
418,2018-02-16 11:41:52.000,com.sec.android.app.shealth,UTC-0400,2018-02-16 11:41:32.000,1.0,c6057b3d-9586-e7d3-b6fb-42a74791f9c8,2018-02-16 12:00:03.880,2018-02-16 12:00:03.880
