create_time,longest_idle_time,score,extra_data,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,pkg_name,active_time,distance,others_time,step_count,datauuid
2017-12-25 08:00:00.829,18960000,0,15cb3b4b-15ba-4745-bf9e-8a492c43a9fe.extra_data.json,-1,669.6509,77201,jQfnryI8/B,2017-12-26 17:53:28.567,720000,1514160000000,9048605,com.sec.android.app.shealth,9125806,9868.436,0,14506,15cb3b4b-15ba-4745-bf9e-8a492c43a9fe
2018-03-01 05:00:32.306,19620000,0,16126476-5a86-4b27-afc8-bc75f418299c.extra_data.json,-1,469.35095,16400,jQfnryI8/B,2018-03-02 11:25:58.719,1800000,1519862400000,2472539,com.sec.android.app.shealth,5024811,2727.9246,2535872,5068,16126476-5a86-4b27-afc8-bc75f418299c
2017-04-20 04:00:01.534,19860000,0,16f5f135-2be0-4cfb-bb6a-16c6e80b0077.extra_data.json,-1,50.97,0,jQfnryI8/B,2017-04-21 01:14:07.768,120000,1492646400000,789001,com.sec.android.app.shealth,789001,963.0701,0,1206,16f5f135-2be0-4cfb-bb6a-16c6e80b0077
2017-05-23 04:00:33.025,19920000,0,17246060-e1e6-4869-9e65-e6abca87b7bd.extra_data.json,-1,261.84,30167,jQfnryI8/B,2017-05-24 00:50:25.476,660000,1495497600000,3493929,com.sec.android.app.shealth,3524096,4572.32,0,6026,17246060-e1e6-4869-9e65-e6abca87b7bd
2017-07-04 04:00:01.470,25740000,0,17545697-272d-402e-8777-691c51e5619c.extra_data.json,-1,572.9099,23491,jQfnryI8/B,2017-07-05 02:08:31.299,660000,1499126400000,7813324,com.sec.android.app.shealth,7836815,10606.451000000001,0,13473,17545697-272d-402e-8777-691c51e5619c
2018-02-19 05:01:37.223,30480000,0,1778de85-c73e-4209-9af7-f6c5efd0ad6e.extra_data.json,-1,816.5033,1200,jQfnryI8/B,2018-02-21 13:19:12.443,3706122,1518998400000,5906076,com.sec.android.app.shealth,10527968,6887.12,4620692,11726,1778de85-c73e-4209-9af7-f6c5efd0ad6e
2017-03-25 04:00:01.894,22560000,0,1812751b-324f-4eae-80e8-33eb9d87c8ac.extra_data.json,-1,455.14,97236,jQfnryI8/B,2017-03-26 02:45:51.073,1080000,1490400000000,6423545,com.sec.android.app.shealth,6520781,8148.4014,0,10462,1812751b-324f-4eae-80e8-33eb9d87c8ac
2017-02-11 08:14:59.991,35580000,0,183adc38-2ec0-4f92-a8ec-ebf8434abc83.extra_data.json,-1,136.15,22790,jQfnryI8/B,2017-02-13 01:50:28.345,120000,1486771200000,1776025,com.sec.android.app.shealth,1798815,2226.9304,0,2810,183adc38-2ec0-4f92-a8ec-ebf8434abc83
2016-12-18 08:00:00.945,33900000,0,18417d88-780e-494d-a636-f3f0d0b190e6.extra_data.json,-1,232.36,25841,jQfnryI8/B,2016-12-19 03:35:00.937,540000,1482019200000,3303734,com.sec.android.app.shealth,3329575,4258.9785,0,5436,18417d88-780e-494d-a636-f3f0d0b190e6
2016-12-20 08:00:00.948,27360000,0,188e0a37-1a0f-426f-9aa1-5ae03e4bc8da.extra_data.json,-1,147.94998,4800,jQfnryI8/B,2016-12-21 06:21:36.150,360000,1482192000000,2255344,com.sec.android.app.shealth,2260144,2745.0293,0,3510,188e0a37-1a0f-426f-9aa1-5ae03e4bc8da
2017-08-21 04:03:15.073,27660000,0,18f18ce4-c1f5-421f-85a3-add246087b3a.extra_data.json,-1,342.8299,52685,jQfnryI8/B,2017-08-22 00:26:11.244,420000,1503273600000,4711153,com.sec.android.app.shealth,4763838,6186.24,0,7820,18f18ce4-c1f5-421f-85a3-add246087b3a
2018-03-18 04:00:00.427,16320000,0,18ff669e-caf5-4ed5-b084-d88524513708.extra_data.json,-1,294.5283,24618,jQfnryI8/B,2018-03-19 11:06:16.785,1380000,1521331200000,4537708,com.sec.android.app.shealth,4562326,5007.3926,0,7114,18ff669e-caf5-4ed5-b084-d88524513708
2016-11-14 08:00:02.296,34140000,0,192d5145-dab1-45df-84f5-4fe320ee37ac.extra_data.json,-1,300.45993,33841,jQfnryI8/B,2016-11-15 06:15:01.662,420000,1479081600000,4028106,com.sec.android.app.shealth,4061947,5238.4004,0,6784,192d5145-dab1-45df-84f5-4fe320ee37ac
2017-01-16 08:00:06.624,30180000,0,19c13e41-744d-4656-bef0-314610855a6a.extra_data.json,-1,108.78998600000001,6484,jQfnryI8/B,2017-01-17 05:20:07.805,180000,1484524800000,1519193,com.sec.android.app.shealth,1525677,1847.84,0,2380,19c13e41-744d-4656-bef0-314610855a6a
2016-08-16 07:00:10.029,30660000,220,19e0d5b8-ae71-481d-8cb1-79a540428550.extra_data.json,60,699.75977,261510,jQfnryI8/B,2016-08-17 05:49:09.863,1380000,1471305600000,7704177,com.sec.android.app.shealth,7965687,10944.598,0,13608,19e0d5b8-ae71-481d-8cb1-79a540428550
2017-07-23 12:09:21.423,35340000,0,1a550d40-94e8-4b47-bb1c-fd131762c0ae.extra_data.json,-1,185.48,36566,jQfnryI8/B,2017-07-24 00:51:33.915,360000,1500768000000,2597038,com.sec.android.app.shealth,2633604,3435.56,0,4230,1a550d40-94e8-4b47-bb1c-fd131762c0ae
2017-09-30 04:00:53.182,39240000,0,1a5f180f-cae9-493b-96b3-c0aa0bce8a00.extra_data.json,-1,504.34997999999996,24615,jQfnryI8/B,2017-09-30 20:32:17.060,1020000,1506729600000,7280047,com.sec.android.app.shealth,7304662,9270.7295,0,12003,1a5f180f-cae9-493b-96b3-c0aa0bce8a00
2018-01-26 06:39:23.133,26760000,0,1a84d4c8-089f-45cc-86df-2cbea1406f07.extra_data.json,-1,213.95004,13200,jQfnryI8/B,2018-01-27 13:27:06.361,300000,1516924800000,3299926,com.sec.android.app.shealth,3313126,3853.3118,0,5131,1a84d4c8-089f-45cc-86df-2cbea1406f07
2018-02-03 05:00:01.660,17280000,0,1ab798d4-bee9-49e3-bdc7-c6a88d6bd804.extra_data.json,-1,402.53503,32892,jQfnryI8/B,2018-02-04 11:38:05.644,1946644,1517616000000,3466104,com.sec.android.app.shealth,5445640,4034.4377,1946644,5794,1ab798d4-bee9-49e3-bdc7-c6a88d6bd804
2018-01-19 05:00:00.486,15120000,0,1af990dd-b1bc-4613-b1cb-38c2005a0879.extra_data.json,-1,794.1819,66800,jQfnryI8/B,2018-01-20 22:14:22.496,3173774,1516320000000,6753774,com.sec.android.app.shealth,9994348,8159.7773,3173774,12808,1af990dd-b1bc-4613-b1cb-38c2005a0879
2017-08-19 04:00:00.741,56099999,0,1b0b52cd-c960-4a61-9595-39dba9d9fa0f.extra_data.json,-1,25.04,0,jQfnryI8/B,2017-08-20 12:43:24.618,60000,1503100800000,394167,com.sec.android.app.shealth,394167,482.27,0,599,1b0b52cd-c960-4a61-9595-39dba9d9fa0f
2018-03-24 04:00:20.246,21960000,0,1b48fc1f-9a8b-49b7-b2ff-01a5c3c8a1b7.extra_data.json,-1,351.09893999999997,78242,jQfnryI8/B,2018-03-25 18:39:08.975,180000,1521849600000,5178298,com.sec.android.app.shealth,5256540,5984.619000000001,0,8064,1b48fc1f-9a8b-49b7-b2ff-01a5c3c8a1b7
2017-06-02 04:01:02.215,14820000,0,1c1851f3-f5da-4bad-bb73-0778c177ad6d.extra_data.json,-1,604.77,40719,jQfnryI8/B,2017-06-03 01:55:02.116,720000,1496361600000,8455150,com.sec.android.app.shealth,8495869,10907.1455,0,13937,1c1851f3-f5da-4bad-bb73-0778c177ad6d
2017-12-07 05:00:00.715,28560000,0,1c7e960c-f8d1-4570-b2ab-b7287e73d1b7.extra_data.json,-1,535.5302,78100,jQfnryI8/B,2017-12-08 02:54:59.637,720000,1512604800000,7028933,com.sec.android.app.shealth,7107033,9652.239,0,12135,1c7e960c-f8d1-4570-b2ab-b7287e73d1b7
2017-07-02 04:15:02.237,44159999,0,1ca0a876-de9a-4d36-a1aa-bd3eac340cc7.extra_data.json,-1,3.9500002999999997,0,jQfnryI8/B,2017-07-03 13:16:37.432,26013,1498953600000,62031,com.sec.android.app.shealth,62031,77.229996,0,93,1ca0a876-de9a-4d36-a1aa-bd3eac340cc7
2017-08-08 04:00:01.742,48900000,0,1cd55969-42dd-4b3a-9128-6bfd876f0ac0.extra_data.json,-1,3.3700001000000004,0,jQfnryI8/B,2017-08-09 01:55:00.996,12006,1502150400000,47357,com.sec.android.app.shealth,47357,60.5,0,71,1cd55969-42dd-4b3a-9128-6bfd876f0ac0
2018-01-16 05:00:06.895,16380000,0,1d4035a9-d58c-4913-89bd-f9e49afdb236.extra_data.json,-1,468.80832000000004,161594,jQfnryI8/B,2018-01-17 19:02:00.560,901967,1516060800000,6187515,com.sec.android.app.shealth,6349109,7678.04,0,10352,1d4035a9-d58c-4913-89bd-f9e49afdb236
2016-08-09 07:02:54.965,25380000,95,1d8f82d0-bc2e-419e-82be-74c736645d08.extra_data.json,60,535.40027,1456860,jQfnryI8/B,2016-08-10 04:13:40.594,1500000,1470700800000,1982026,com.sec.android.app.shealth,3438886,6819.8096,0,7124,1d8f82d0-bc2e-419e-82be-74c736645d08
2017-08-20 04:00:08.232,31380000,0,1e25a854-5de2-4da5-9ae3-2aeb324ad8ee.extra_data.json,-1,170.34,39396,jQfnryI8/B,2017-08-20 23:18:09.124,240000,1503187200000,2348073,com.sec.android.app.shealth,2387469,3141.37,0,3864,1e25a854-5de2-4da5-9ae3-2aeb324ad8ee
2018-02-13 06:27:31.747,21360000,0,1e66275f-bcd2-4fc1-a8cf-214754af44af.extra_data.json,-1,539.5569,17064,jQfnryI8/B,2018-02-14 13:05:14.193,758150,1518480000000,7747641,com.sec.android.app.shealth,7764705,8964.928,0,12404,1e66275f-bcd2-4fc1-a8cf-214754af44af
2017-02-20 08:00:01.399,25500000,0,1ec51138-528e-4f83-88ce-4ccb71406e07.extra_data.json,-1,293.5899,38324,jQfnryI8/B,2017-02-21 03:35:02.433,540000,1487548800000,3953370,com.sec.android.app.shealth,3991694,5149.12,0,6584,1ec51138-528e-4f83-88ce-4ccb71406e07
2018-02-11 05:00:12.341,20760000,0,1f02b8ce-138a-44bd-b147-06f6a078c7dc.extra_data.json,-1,298.30994,92412,jQfnryI8/B,2018-02-12 13:03:03.283,120000,1518307200000,4173222,com.sec.android.app.shealth,4265634,4843.9907,0,6585,1f02b8ce-138a-44bd-b147-06f6a078c7dc
2018-04-25 04:00:00.502,14760000,0,1f53e921-92e9-4895-88b8-9bf26c6a0114.extra_data.json,-1,368.37006,110363,jQfnryI8/B,2018-04-26 11:23:32.506,360000,1524614400000,5040951,com.sec.android.app.shealth,5151314,6273.2163,0,8238,1f53e921-92e9-4895-88b8-9bf26c6a0114
2016-06-29 07:00:01.516,23640000,123,1f8c1795-67cc-4c43-a8dc-35b970269a56.extra_data.json,60,345.24,202582,jQfnryI8/B,2016-07-03 05:30:49.079,720000,1467158400000,4282066,com.sec.android.app.shealth,4484648,6004.478,0,7502,1f8c1795-67cc-4c43-a8dc-35b970269a56
2017-09-02 10:51:26.579,24840000,0,1ff632a8-dac5-42ad-8395-6cd3aa70a759.extra_data.json,-1,649.76013,126327,jQfnryI8/B,2017-09-03 00:21:09.980,720000,1504310400000,9005986,com.sec.android.app.shealth,9132313,11822.421999999999,0,14786,1ff632a8-dac5-42ad-8395-6cd3aa70a759
2016-11-25 08:00:01.989,27720000,0,202319c4-ef14-4ba7-86f5-1070148fde1a.extra_data.json,-1,323.07004,66585,jQfnryI8/B,2016-11-26 07:30:12.747,480000,1480032000000,4401979,com.sec.android.app.shealth,4468564,5874.8,0,7550,202319c4-ef14-4ba7-86f5-1070148fde1a
2016-10-27 07:00:01.908,32580000,0,205d6d48-c13c-4c2c-ac4d-1ae149508cb3.extra_data.json,-1,437.6799,47143,jQfnryI8/B,2016-10-28 02:51:07.299,540000,1477526400000,5827603,com.sec.android.app.shealth,5874746,7635.592,0,9842,205d6d48-c13c-4c2c-ac4d-1ae149508cb3
2018-04-21 04:00:00.633,19560000,0,20dc95d1-b55b-49be-9c51-68436466218c.extra_data.json,-1,499.77017,10800,jQfnryI8/B,2018-04-23 11:38:28.450,1440000,1524268800000,4641293,com.sec.android.app.shealth,6092093,5254.2935,1440000,7055,20dc95d1-b55b-49be-9c51-68436466218c
2018-04-15 04:00:00.795,16680000,0,2175d8ff-a56f-4a27-a369-70fe1fab45a5.extra_data.json,-1,269.33002,14188,jQfnryI8/B,2018-04-16 13:06:52.817,120000,1523750400000,4270108,com.sec.android.app.shealth,4284296,4598.348,0,6476,2175d8ff-a56f-4a27-a369-70fe1fab45a5
2016-06-25 14:40:11.581,21780000,0,21836531-04ea-4056-9dfa-7364b5ff9057.extra_data.json,-1,585.15985,236052,jQfnryI8/B,2016-06-25 14:40:11.581,660000,1466726400000,7363007,com.sec.android.app.shealth,7599059,10122.4,0,12661,21836531-04ea-4056-9dfa-7364b5ff9057
2017-10-07 04:15:02.163,33540000,0,21c938d2-f428-4e34-9fd0-7d6083509a4f.extra_data.json,-1,27.45,0,jQfnryI8/B,2017-10-07 21:35:00.061,120000,1507334400000,408781,com.sec.android.app.shealth,408781,530.58,0,665,21c938d2-f428-4e34-9fd0-7d6083509a4f
2017-01-05 08:00:02.609,31020000,0,229e1438-6f1f-4756-9dc6-3f84bdbea8a1.extra_data.json,-1,351.31998,51499,jQfnryI8/B,2017-01-06 05:17:23.672,420000,1483574400000,4724386,com.sec.android.app.shealth,4775885,6183.6294,0,7900,229e1438-6f1f-4756-9dc6-3f84bdbea8a1
2017-06-06 04:00:00.775,58080000,0,22a39e36-3aa7-4630-b258-b6c0e1254342.extra_data.json,-1,61.359993,2400,jQfnryI8/B,2017-06-07 00:19:10.501,60000,1496707200000,941714,com.sec.android.app.shealth,944114,1156.7399,0,1450,22a39e36-3aa7-4630-b258-b6c0e1254342
2016-11-26 08:00:01.453,31440000,0,22c19a6d-c898-4bf0-b25a-42c8e260ed0a.extra_data.json,-1,229.59,21780,jQfnryI8/B,2016-11-27 04:12:58.938,360000,1480118400000,3530483,com.sec.android.app.shealth,3552263,4347.5786,0,5495,22c19a6d-c898-4bf0-b25a-42c8e260ed0a
2017-05-18 04:01:44.439,21660000,0,22cdcc13-0c4c-4828-bda7-eb19b1c15e2a.extra_data.json,-1,516.71,22739,jQfnryI8/B,2017-05-19 01:47:47.578,1860000,1495065600000,7283592,com.sec.android.app.shealth,7306331,9241.688,0,12033,22cdcc13-0c4c-4828-bda7-eb19b1c15e2a
2017-07-15 04:00:00.419,35340000,0,2365c892-40b7-425c-bc38-deb953f0d4c0.extra_data.json,-1,371.16995,66728,jQfnryI8/B,2017-07-16 00:22:58.485,480000,1500076800000,5091923,com.sec.android.app.shealth,5158651,6942.6997,0,8576,2365c892-40b7-425c-bc38-deb953f0d4c0
2017-08-17 04:00:37.617,19380000,0,23df4e79-6fb3-470a-9795-a1eb4e9f067b.extra_data.json,-1,494.32004000000006,40341,jQfnryI8/B,2017-08-18 01:15:03.082,1800000,1502928000000,6969368,com.sec.android.app.shealth,7009709,8836.860999999999,0,11457,23df4e79-6fb3-470a-9795-a1eb4e9f067b
2017-09-16 04:00:48.574,29400000,0,245724a4-6ae5-4e99-891a-8f4bfeb56472.extra_data.json,-1,601.6401,27049,jQfnryI8/B,2017-09-17 01:34:51.490,900000,1505520000000,8487428,com.sec.android.app.shealth,8514477,11524.038999999999,0,14525,245724a4-6ae5-4e99-891a-8f4bfeb56472
2017-02-13 08:00:01.684,32940000,0,24d25e20-554c-427d-9765-49e25fc3bf6c.extra_data.json,-1,592.79,21262,jQfnryI8/B,2017-02-14 04:11:26.827,1200000,1486944000000,8669579,com.sec.android.app.shealth,8690841,10168.595,0,13600,24d25e20-554c-427d-9765-49e25fc3bf6c
2016-10-16 07:14:59.679,18540000,71,25ae84f4-74d9-496c-a8d9-e6ae7cc88a0d.extra_data.json,60,180.89996000000002,22100,jQfnryI8/B,2016-10-17 04:26:28.318,120000,1476576000000,2637647,com.sec.android.app.shealth,2659747,3232.9504,0,4088,25ae84f4-74d9-496c-a8d9-e6ae7cc88a0d
2016-08-23 07:00:14.663,28920000,0,26573892-eabb-4518-9b6a-789116b8865b.extra_data.json,-1,316.04992999999996,111341,jQfnryI8/B,2016-08-24 03:10:47.361,300000,1471910400000,3955821,com.sec.android.app.shealth,4067162,5291.99,0,6748,26573892-eabb-4518-9b6a-789116b8865b
