,end_time,start_time,count,calorie,update_time,speed,pkg_name,time_offset,distance,datauuid,create_time
23,2018-04-21 12:25:00.000,2018-04-21 12:24:00.000,36,1.55,2018-04-21 12:35:02.164,1.1388888000000001,com.sec.android.app.shealth,UTC-0300,26.72,00b8b751-6d2e-4a2c-8e49-57daf3582099,2018-04-21 12:35:02.164
24,2018-04-09 11:30:00.000,2018-04-09 11:29:00.000,16,0.66,2018-04-09 11:30:27.414,1.5000001,com.sec.android.app.shealth,UTC-0300,12.91,00c90d71-bf84-4f0a-9614-b1c9403f6184,2018-04-09 11:30:27.414
25,2018-05-03 08:00:59.999,2018-05-03 08:00:00.000,71,2.87,2018-05-03 08:04:49.592,1.5,com.sec.android.app.shealth,UTC-0300,52.11,00d00851-cd5b-3f31-4c3e-928c51d47a9b,2018-05-03 08:04:49.592
26,2018-05-02 16:22:59.999,2018-05-02 16:22:00.000,42,1.7,2018-05-02 16:31:41.458,1.2428806000000001,com.sec.android.app.shealth,UTC-0300,28.788,00d92025-6c1f-61cc-88ac-1fd0b515fec9,2018-05-02 16:22:27.396
27,2018-04-27 21:52:59.999,2018-04-27 21:52:00.000,25,1.05,2018-04-27 21:53:41.798,1.2777778,com.sec.android.app.shealth,UTC-0300,18.62,00dec792-c780-2ecf-af28-7bc95da9a733,2018-04-27 21:53:41.792
28,2018-04-27 08:43:59.999,2018-04-27 08:43:00.000,108,4.32,2018-04-27 08:54:49.471,1.2222222,com.sec.android.app.shealth,UTC-0300,75.28,00e554a0-3ef0-cd3e-e552-b1f7779a881a,2018-04-27 08:54:49.470
29,2018-04-05 20:33:59.999,2018-04-05 20:33:00.000,105,4.2,2018-04-05 20:35:01.378,1.0833334,com.sec.android.app.shealth,UTC-0300,66.08,00eb3496-3df5-84bd-1dfa-a895dd8a83ea,2018-04-05 20:35:01.378
30,2018-04-18 09:31:00.000,2018-04-18 09:30:00.000,118,4.83,2018-04-18 09:35:00.736,2.1111112000000003,com.sec.android.app.shealth,UTC-0300,97.27,00eddb40-e9c5-4e1b-9242-9ffbe1c4d943,2018-04-18 09:35:00.736
31,2018-04-10 11:15:00.000,2018-04-10 11:14:00.000,21,0.87,2018-04-10 11:15:01.413,1.8611112,com.sec.android.app.shealth,UTC-0300,17.4,00f51cfe-46ca-4b71-8351-2878547e11a8,2018-04-10 11:15:01.413
32,2018-04-14 18:46:59.999,2018-04-14 18:46:00.000,15,0.64,2018-04-14 18:48:07.577,1.9444443999999999,com.sec.android.app.shealth,UTC-0300,12.36,00faa890-c28b-9331-2854-5bd07002e791,2018-04-14 18:48:07.577
33,2018-04-27 11:35:00.000,2018-04-27 11:34:00.000,39,1.6199999,2018-04-27 11:35:01.837,1.544381,com.sec.android.app.shealth,UTC-0300,30.759998,01045da5-a937-4fe6-ac29-a7bec019a233,2018-04-27 11:34:09.529
34,2018-04-20 07:42:59.999,2018-04-20 07:42:00.000,102,4.07,2018-04-20 07:47:02.396,1.0555556000000001,com.sec.android.app.shealth,UTC-0300,66.18,0104b83e-68af-54dc-e9af-7c143ae87bc0,2018-04-20 07:47:02.396
