,efficiency,has_sleep_data,com.samsung.health.sleep.datauuid,quality,com.samsung.health.sleep.custom,com.samsung.health.sleep.end_time,original_wake_up_time,com.samsung.health.sleep.start_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.update_time,original_bed_time,com.samsung.health.sleep.create_time,original_efficiency
90,91.013824,1.0,4d870843-b045-9f50-8149-c5a9eca32db3,,,1531737120000,,1531711080000,UTC-0300,1531737175393,,1531737175393,
91,70.27027,1.0,4e04d4a7-da06-3afc-7395-803db93ac1d9,,,1523002740000,,1523000580000,UTC-0300,1523003617272,,1523003617272,
92,93.08756,1.0,4e053f37-04a1-9947-069e-aa167f802681,,,1525080840000,,1525067880000,UTC-0300,1525080916222,,1525080916222,
93,93.333336,1.0,4e7ba199-a636-4a12-fbe5-6ca14f485f1a,,,1527067380000,,1527039480000,UTC-0300,1527067428896,,1527067428896,
94,92.72031,1.0,4ebed4af-fa4b-a94f-eeb0-c45ec42fc138,,,1525428480000,,1525412880000,UTC-0300,1525428611070,,1525428611070,
95,90.120964,1.0,4f224a77-e1f5-8feb-f1ee-64352ff2fb54,,,1514567880000,,1514538180000,UTC-0700,1514568784308,,1514568784308,
96,83.33333,1.0,4f3a6409-0ad8-c03e-a02f-0c74f9845c64,,,1515930600000,,1515928860000,UTC-0400,1515931075709,,1515931075709,
97,93.70786,1.0,5112e0e4-3ff5-4620-a488-9ef126270895,,,1516186020000,,1516159380000,UTC-0400,1516186195702,,1516186195702,
98,92.244896,1.0,54d4e23a-6353-52a8-553b-201b9a58efc1,,,1525686780000,,1525657380000,UTC-0300,1525686803764,,1525686803764,
99,88.52814,1.0,554eb406-b3fd-38bc-98c6-b55fa180acee,,,1530700620000,,1530672960000,UTC-0300,1530701490285,,1530701490285,
100,63.076927,1.0,556636eb-957a-a1ea-6da8-c1f155805b82,,,1529292840000,,1529289000000,UTC-0300,1529293716294,,1529293716294,
101,95.13184,1.0,583a264f-6ce3-a419-813d-a92dfe12ad0e,,,1520934660000,,1520905140000,UTC-0300,1520934726238,,1520934726238,
102,93.269226,1.0,5935ece5-0c3b-4e55-5e14-ab72f2f5021f,,,1524816360000,,1524797700000,UTC-0300,1524816483130,,1524816483130,
103,87.76224,1.0,5ae71c67-e2f8-924d-3fe2-d7b026d01767,,,1527577860000,,1527560700000,UTC-0300,1527577920058,,1527577920058,
104,95.47511,1.0,5bc2a601-0ba2-3239-33f6-16b94c826b80,50003.0,,1515497880000,1.51549788e+12,1515471420000,UTC-0400,1515543599968,1.51547142e+12,1515498802279,95.47511
105,94.19238,1.0,5e2ade36-de0a-3774-7b04-2bd358ff0f40,,,1522752000000,,1522718940000,UTC-0300,1522752046779,,1522752046779,
106,89.08686,1.0,5e638502-12f3-fade-dc79-d97dc20ebe9c,,,1531303380000,,1531276500000,UTC-0300,1531303467716,,1531303467716,
107,87.09677,1.0,5f2988e5-ef8d-3992-4222-aaa5ec018c14,,,1529059020000,,1529057220000,UTC-0300,1529059941292,,1529059941292,
108,91.62304,1.0,604fa367-bfab-801d-db26-b75b21a92c61,,,1525253400000,,1525230540000,UTC-0300,1525253471680,,1525253471680,
109,91.331924,1.0,6162f0db-d899-4efb-a471-ba8e5ecf6493,50003.0,,1518001620000,1.51800162e+12,1517972580000,UTC-0400,1518010245789,1.51797258e+12,1518002496349,91.331924
110,95.13184,1.0,61f5fc3a-b37b-3e71-d62f-05e1490cf96f,,,1521023520000,,1520993940000,UTC-0300,1521023562034,,1521023562034,
111,90.2439,1.0,6211e83f-3841-9886-762b-974a3183b573,,,1518998640000,,1518993780000,UTC-0400,1518998736322,,1518998736322,
112,88.09524,1.0,631d5985-2089-69be-1823-aa9e6600b2f1,,,1523616900000,,1523586720000,UTC-0300,1523617053235,,1523617053235,
113,95.69378,1.0,64964be7-ba87-f777-894a-8e2701186530,,,1523268720000,,1523243700000,UTC-0300,1523268896659,,1523268896659,
114,87.70053,1.0,65707a84-bc56-2050-1f71-48d9f1c2bbad,,,1521800580000,,1521789420000,UTC-0300,1521800697492,,1521800697492,
115,92.90188,1.0,68d19a9c-c6fa-2fef-5c4f-cc04537fad19,50003.0,,1518518700000,1.5185187e+12,1518490020000,UTC-0400,1518519406165,1.51849002e+12,1518518801929,92.90188
116,91.434265,1.0,6a6039c7-88c4-ea1a-8fe8-7906c6143032,,,1513963080000,,1513933020000,UTC-0700,1513964003295,,1513964003295,
117,0.0,1.0,6a607e26-b756-985f-baf2-2804d74755d4,,,1524912480000,,1524911400000,UTC-0300,1524913006916,,1524913006916,
118,93.593315,1.0,6adbdeaf-dfa4-c290-b917-2200a8e80b00,,,1514898480000,,1514877000000,UTC-0400,1514898589626,,1514898589626,
119,89.76378,1.0,6d95c617-f5f9-9000-22e6-e724ff770d4d,,,1526297100000,,1526274300000,UTC-0300,1526297217470,,1526297217470,
120,94.72574,1.0,6e9b2daa-15d7-3f8d-3166-4b2ffb7f5c8f,,,1529576700000,,1529548320000,UTC-0300,1529577010680,,1529577010680,
121,82.02247,1.0,6f036005-9da8-81b4-d5ef-c818578da542,,,1526729760000,,1526724480000,UTC-0300,1526730669334,,1526730669334,
122,93.371216,1.0,702abd7b-c657-0d02-6629-eca30aabff59,50004.0,,1518696480000,1.51869648e+12,1518664860000,UTC-0400,1518696783817,1.51866486e+12,1518696583310,93.371216
123,88.5965,1.0,706cb058-e6e4-976e-f600-ad9453c9dc73,,,1514250540000,,1514243760000,UTC-0700,1514250668813,,1514250668813,
124,92.21453,1.0,71108bfa-2512-6f6f-0417-4abf7969b912,,,1515246720000,,1515212040000,UTC-0400,1515246799438,,1515246799438,
125,92.30769,1.0,717b065c-0802-ae93-4028-fcc2b1a4b7c3,,,1527242280000,,1527213480000,UTC-0300,1527242340158,,1527242340158,
126,88.97436,1.0,7213f818-a3f5-8acc-c41d-7aecb203ce1b,,,1532341260000,,1532317920000,UTC-0300,1532342171282,,1532342171282,
127,96.55172,1.0,72b976a1-6c43-5c2f-a2c6-9360a7278d29,,,1524476340000,,1524455520000,UTC-0300,1524476452999,,1524476452999,
128,90.46653,1.0,73b916de-2388-6d24-c2c7-40d6747d3850,,,1530444180000,,1530414660000,UTC-0300,1530444299647,,1530444299647,
129,91.681114,1.0,74845709-7176-0c70-e120-4d65de63d21a,50002.0,,1517573640000,1.51757364e+12,1517539080000,UTC-0400,1517575298616,1.51753908e+12,1517573997042,91.681114
130,93.11111,1.0,74cab487-a0cf-1c7e-924c-1179c42bf291,50003.0,,1520162760000,1.52016276e+12,1520135820000,UTC-0400,1520163945843,1.52013582e+12,1520162843747,93.11111
131,89.69072,1.0,753a183f-0858-2913-3f91-d918410ec670,,,1523188080000,,1523182320000,UTC-0300,1523188973301,,1523188973301,
132,91.95046,1.0,7554675f-2632-9e5a-2833-30fee3066cb9,,,1524391560000,,1524372240000,UTC-0300,1524391838635,,1524391838635,
133,88.65248,1.0,765f54b8-1330-b13c-6871-0f1fcb478c7c,,,1530612480000,,1530587160000,UTC-0300,1530613397279,,1530613397279,
134,94.117645,1.0,76cd0ae3-871b-8ef1-0be9-1415bce038d0,,,1514125020000,,1514093460000,UTC-0700,1514125933273,,1514125933273,
135,92.17759,1.0,775e89c5-1a1e-cf80-a950-81104212dec9,50004.0,,1517140680000,1.51714068e+12,1517112360000,UTC-0400,1517142522293,1.51711236e+12,1517140765213,92.17759
136,96.01227,1.0,77a0fb59-e50c-1a07-3f15-73fb2ecb9a43,,,1526984700000,,1526965200000,UTC-0300,1526985597354,,1526985597354,
137,91.60584,1.0,77c451b1-24ff-5efd-ecc6-bb9c77dc66ff,,,1532084580000,,1532051700000,UTC-0300,1532084621086,,1532084621086,
